codemp;saf;descrip;claveseg;codtipo;excep;safcentral;cuit;calle;nro;codsicore;empresue;activo;caracter;jur
63;63;Ministerio de Ambiente y C. Desarrollo Sustentable;MAC;1;;63;30-70989261-0;;;999;;1;1;63
10;10;Secretaria General de Gobierno;MSG;1;;10;33-67049583-9;Fontana;50;999;JA;1;1;10
40;40;Ministerio de Desarrollo Social, Familia, Mujer y;NBS;1;;40;30-67049385-3;San Martin;475;999;;1;1;40
1025;1025;PENSION BOMBEROS;NPB;;;40;;;;0;;1;;
1020;1020;PENSIONES GRACIABLES;NPG;1;;40;;;;999;;1;;
91;91;Obligaciones a Cargo del Tesoro;ODT;1;;91;30-67050730-7;;;999;;1;1;91
33;33;Unidad Ejecutora Provincia M.E.y C.P.;OEP;1;;33;33-67048689-9;;;999;;1;1;30
30;30;Ministerio de Economía y Crédito Público;OME;1;;30;30-67049620-8;25 de Mayo;550;999;;1;1;30
13;13;Oficina Anticorrupción;OMI;1;0;13;30-70716039-6;;;999;;1;1;1
32;32;Dirección General de Rentas;ORE;1;;32;30-67049958-4;;;999;;1;1;30
61;61;Secretaría de Pesca;P61;1;;61;30-70926839-9;;;999;;1;1;61
62;62;Ministerio de Hidrocarburos;P62;1;;62;30-67052224-1;;;999;;1;1;62
67;67;Ministerio de Agricultura, Ganadería, Industria y;P67;1;;67;30-71251579-8;;;999;;1;1;67
29;21;Policía de la Prov. Aspirantes a Age;PO1;1;;21;30-99916246-7;Mariano Moreno;561;999;;1;1;9
21;21;Policía de la Provincia;POL;1;;21;30-99916246-7;Mariano Moreno;561;999;;1;1;9
550;50;ESCUELAS PRIVADAS;PRI;1;;50;;;;0;;1;1;50
68;68;Secretaria Bosques;PRO;1;;68;;;;999;;1;1;60
303;303;Inst. Provincial del Agua;S03;1;;303;30-71117742-2;;;999;;1;2;8
25;25;Subsec. de Medios e Información Pública;SIP;1;;25;30-71057002-3;;;999;;1;1;10
88;88;Ministerio de Infraestructura, Planeam. y Serv.Pub;SOP;1;;88;30-67049620-8;;;999;;1;1;8
78;78;Direc. Sanitaria Noreste, Rurales y Puestos Sanit.;V16;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
74;74;Direc. Sanitaria Sur, Rurales y Puestos Sanitarios;V17;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
76;76;Direc. Sanitaria Noroeste,Rurales y Puestos Sanit.;V18;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
72;72;Hospiltal Zonal de Trelew;V19;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
73;73;Hospital Zonal de Puerto Madryn;V20;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
75;75;Hospital Regional de Comodoro Rivadavia;V21;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
77;77;Hospital Zonal de Esquel;V22;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
71;71;Hospital Subzonal de Rawson;V23;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
79;79;Direc. Sanitaria Norte, Rurales y Puestos Sanit.;V25;1;;70;30-99922146-3;;;999;;1;1;70
70;70;Secretaría de Salud;V26;1;;70;30-99922146-3;Moreno;555;999;;1;1;70
81;81;HOSPITAL ALVEAR;V27;1;;70;30-99922146-3;;;999;;1;1;70
301;301;Administración de Vialidad Provincial;VIA;1;;301;30-99915762-5;Fino Chietto;151;999;;1;2;8
53;50;MINIST. DE EDUC - CARGOS POLIMDAL Y SUP.;XEM;1;;50;30-99915793-5;9 de Julio;24;999;;1;1;50
54;50;MINIST. DE EDUC - CARGOS EGB;YCE;1;;50;30-99915793-5;9 de Julio;24;999;;1;1;50
50;50;MINIST. DE EDUCACION -Otros Conceptos;"""""";1;;50;30-99915793-5;;;999;;1;1;50
92517;;SAF 25 Inf. Pública .CANAL 7 (PRG 17);"""""";1;;92517;0;;0;0;;1;1;0
92500;;SAF 25 Inf. Publica sin CANAL 7;"""""";1;;92500;0;;0;0;;1;1;0
